,source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
58,Twitter for iPhone,"If anyone is looking for a good lawyer, I would strongly suggest that you don’t retain the services of Michael Cohen!",Wed Aug 22 12:44:08 +0000 2018,37028,150618,FALSE,1.03225E+18
59,Twitter for iPhone,Thank you West Virginia. I love you! https://t.co/K1OQ98wOh4,Wed Aug 22 00:45:19 +0000 2018,17218,80361,FALSE,1.03207E+18
60,Twitter for iPhone,MAKING AMERICA GREAT AGAIN! https://t.co/gZqP81bclE,Wed Aug 22 00:38:32 +0000 2018,17505,70438,FALSE,1.03206E+18
61,Twitter for iPhone,"Just landed in West Virginia. Big crowd, looking forward to seeing everyone soon! #MAGA",Tue Aug 21 21:32:31 +0000 2018,13860,77675,FALSE,1.03202E+18
62,Twitter for iPhone,Join me tonight at the Charleston Civic Center in West Virginia at 7:00pmE! Tickets: https://t.co/OX8gGhdmg9,Tue Aug 21 15:22:04 +0000 2018,10689,45920,FALSE,1.03192E+18
63,Twitter for iPhone,"To the incredible people of the Great State of Wyoming: Go VOTE TODAY for Foster Friess - He will be a fantastic Governor! Strong on Crime, Borders &; 2nd Amendment. Loves our Military &; our Vets. He has my complete and total Endorsement!",Tue Aug 21 14:56:31 +0000 2018,18610,77230,FALSE,1.03192E+18
64,Twitter for iPhone,"Bill DeBlasio, the high taxing Mayor of NYC, just stole my campaign slogan: PROMISES MADE  PROMISES KEPT! That’s not at all nice. No imagination! @foxandfriends",Tue Aug 21 14:15:18 +0000 2018,19317,79264,FALSE,1.03191E+18
65,Twitter for iPhone,"Big Rally tonight in West Virginia. Patrick Morrisey is running a GREAT race for U.S. Senate. I have done so much for West Virginia, against all odds, and having Patrick, a real fighter, by my side, would make things so much easier. See you later. CLEAN COAL!!!!",Tue Aug 21 11:57:19 +0000 2018,17536,74617,FALSE,1.03187E+18
66,Twitter for iPhone,"I am sorry to have to reiterate that there are serious and unpleasant consequences to crossing the Border into the United States ILLEGALLY! If there were no serious consequences, our country would be overrun with people trying to get in, and our system could not handle it!",Tue Aug 21 11:41:46 +0000 2018,26608,109819,FALSE,1.03187E+18
67,Twitter for iPhone,"Fake News, of which there is soooo much (this time the very tired New Yorker) falsely reported that I was going to take the extraordinary step of denying Intelligence Briefings to President Obama. Never discussed or thought of!",Tue Aug 21 11:10:49 +0000 2018,16476,71117,FALSE,1.03186E+18
